,pl_name,hostname,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,sy_pnum,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag
4020,Kepler-236 c,Kepler-236,1,0.1325,0.00489,-0.00489,4.647643025567861,2.468867793818392,-1.5067278191110396,2,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
4026,Kepler-529 d,Kepler-529,1,0.2113,0.0,0.0,3.933963446053284,2.5294173091157517,-1.9089314256131846,3,0.0,0.0,0.0,88.24,0.0,0.0,,,,01+1-23+3-
4033,HD 137496 b,HD 137496,1,0.02732,0.00019,-0.00019,4.04,0.55,-0.55,2,0.0,0.0,0.0,85.8,2.6,-2.2,,,,01+1-
4036,HD 156098 c,HD 156098,1,8.415,0.396,-0.629,1661.60691,615.95145,-409.04516,2,0.391,0.04,-0.051,23.462,22.352,0.0,,,,0
4037,HD 25912 b,HD 25912,1,0.242,0.009,-0.01,38.13941,4.13177,-4.13177,2,0.05,0.039,-0.034,88.333,7.701,-5.134,,,,03
4038,HD 93351 c,HD 93351,1,11.154,2.956,-0.949,4154.01728,633.43202,-432.56446,2,0.109,0.046,-0.041,14.636,1.039,-1.177,,,,0
4039,HD 203387 c,HD 203387,1,5.067,0.204,-0.196,2378.94563,1079.02744,-702.40078,2,0.202,0.125,-0.101,158.462,6.927,-9.058,,,,0
4041,HD 27894 d,HD 27894,1,5.405,0.16249999999999998,-0.1405,1892.35465,194.829005,-249.019525,3,0.366,0.059,-0.027999999999999997,101.524,14.742,-31.503,,,,0
4043,HD 125612 b,HD 125612,1,1.37,0.054,-0.059,985.273,77.86796,-81.99973,3,0.4553,0.01,-0.01,88.195,16.306,-15.98,,,,03
4044,HD 153557 d,HD 153557,1,21.449,1.487,-1.746,8725.66109,1130.19782,-1111.12811,3,0.152,0.06,-0.047,14.324,0.964,-0.935,,,,0
4045,GJ 676 A d,GJ 676 A,1,0.040150000000000005,0.0012000000000000001,-0.0012000000000000001,4.4,0.31783,-0.31783,4,0.192,0.09,-0.09,33.69,1.362,-1.324,,,,03
4046,HD 151450 b,HD 151450,1,0.16,0.007,-0.008,38.45724,6.03874,-7.94571,2,0.496,0.117,-0.104,42.369,11.085,-8.858,,,,03
4047,GJ 2030 b,GJ 2030,1,0.034,0.001,-0.002,4.76743,0.63566,-0.63566,2,0.239,0.075,-0.058,16.999,2.935,-2.535,,,,03
4049,HD 18143 b,HD 18143,1,0.088,0.003,-0.004,10.80617,1.58914,-2.2248,2,0.224,0.171,-0.122,35.98,2.853,-1.948,,,,03
4051,GJ 229 b,GJ 229,1,0.97,0.031,-0.031,14.93794,2.033,-2.033,2,0.1,0.105,-0.1,90.0,0.0,0.0,,,,03
4054,HD 12235 c,HD 12235,1,22.21,3.866,-2.766,3135.69506,1013.87262,-566.05239,2,0.174,0.11,-0.154,47.738,12.651,-11.804,,,,0
4056,BD-210397 b,BD-210397,1,2.63,0.06,-0.05,214.0,31.0,-32.0,2,0.1,0.1,-0.1,33.0,5.0,-4.0,,,,03
4058,BD-210397 c,BD-210397,1,5.9,1.75,-0.3,1142.2881750000001,337.84852,-133.34852,2,0.265,0.125,-0.07500000000000001,33.0,5.0,-4.0,,,,0
4060,HD 219828 c,HD 219828,1,5.79,0.319,-0.32599999999999996,4799.233,731.009,-403.64208,2,0.811,0.004,-0.004,122.816,11.012,-69.974,,,,0
4065,HD 28185 c,HD 28185,1,13.176,0.518,-0.689,6241.83209,720.19917,-679.19931,2,0.12,0.021,-0.022,57.65,8.146,-5.747,,,,0
4077,Kepler-1488 b,Kepler-1488,1,0.2278,0.0,0.0,4.110150462895278,2.7499518754529175,-2.141336862060858,2,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-23+3-
4078,Kepler-352 d,Kepler-352,1,0.0665,0.0,0.0,0.21812591827340239,0.12093260515737708,-0.08045571586076997,3,0.0,0.0,0.0,89.38,0.0,0.0,,,,01+1-23+3-
4089,Kepler-1321 d,Kepler-1321,1,0.0566,0.0,0.0,9.226411388775192,2.7736358514962625,-2.2291764467614215,3,0.0,0.0,0.0,87.66,0.0,0.0,,,,01+1-23+3-
4102,Kepler-107 b,Kepler-107,1,0.0441,0.000355,-0.000355,3.655,1.6600000000000001,-1.6099999999999999,4,0.0,0.2,-0.02,87.66,0.67,-0.67,,,,0
4103,Kepler-323 b,Kepler-323,1,0.0288,0.00068,-0.00068,344.15,494.2,-293.5,2,0.0,0.0,0.0,88.84,1.5,-3.9,,,,01+1-
4104,K2-36 b,K2-36,1,0.022940000000000002,0.000295,-0.000295,4.1,1.25,-1.25,2,0.0465,0.0,0.0,85.37950000000001,1.2000000000000002,-1.44,,,,01+1-
4105,K2-38 b,K2-38,1,0.050449999999999995,0.000715,-0.000715,9.85,2.05,-2.0,2,0.1535,0.067,-0.06,87.82,1.025,-1.315,,,,0
4106,K2-38 c,K2-38,1,0.09615,0.0014,-0.0014,8.3,1.4,-1.3,2,0.1235,0.096,-0.078,87.68,0.31,-0.28,,,,0
4107,K2-111 b,K2-111,1,0.057,0.0012,-0.0012,5.58,0.76,-0.77,2,0.1,0.13,-0.09,86.43,0.685,-0.605,,,,0
4114,Kepler-595 b,Kepler-595,1,0.1648,0.0,0.0,17.4,7.1,-3.8,2,0.0,0.0,0.0,89.95,0.0,0.0,,,,01+1-3+3-
