,pl_name,hostname,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,sy_pnum,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag
907,rho CrB b,rho CrB,1,0.2229,0.0024,-0.0025,341.66554,7.5,-7.6,4,0.0364,0.00375,-0.0038,90.0,0.0,0.0,,,,03
908,rho CrB c,rho CrB,1,0.4157,0.0046,-0.0047,28.12781,1.74806,-1.77984,4,0.052,0.053,-0.037,90.0,0.0,0.0,,,,03
909,rho CrB d,rho CrB,1,0.827,0.011,-0.011,21.6,2.5,-2.5,4,0.0,0.0,0.0,90.0,0.0,0.0,,,,01+1-3
910,rho CrB e,rho CrB,1,0.1061,0.0011,-0.0011,3.79,0.53,-0.54,4,0.126,0.054,-0.078,90.0,0.0,0.0,,,,03
912,Kepler-32 c,Kepler-32,1,0.066945,0.00184,-0.00184,83.3,5.0,-3.8,5,0.0,0.0,0.0,87.66,0.0,0.0,,,,01+1-3+3-
913,K2-285 e,K2-285,1,0.18041,0.0042,-0.0043,10.7,0.0,0.0,4,0.0,0.0,0.0,89.799,0.002,-0.003,,,,01+1-2+2-
914,HD 63935 c,HD 63935,1,,,,11.1,2.4,-2.4,2,0.0,0.0,0.0,88.241,0.001,-0.001,,,,01+1-
932,K2-138 c,K2-138,1,0.04454,0.00032,-0.00038,6.31,1.13,-1.23,6,0.17049999999999998,0.051,-0.032,88.1,0.92,-0.97,,,,0
933,K2-138 g,K2-138,1,0.229895,0.013219999999999999,-0.01253,4.32,5.26,-3.03,6,0.059,0.063,-0.04,89.345,0.255,-0.205,,,,0
935,TRAPPIST-1 b,TRAPPIST-1,1,0.011534,0.0001,-0.0001,1.017,0.154,-0.143,7,0.00622,0.00304,-0.00304,89.41,0.32,-0.32,,,,0
936,TRAPPIST-1 e,TRAPPIST-1,1,0.029245,0.00054,-0.00055,0.692,0.079,-0.075,7,0.04505000000000001,0.00058,-0.00058,89.793,0.092,-0.092,,,,0
937,TRAPPIST-1 f,TRAPPIST-1,1,0.038512000000000005,0.00033,-0.00031999999999999997,0.934,0.08,-0.078,7,0.036535,0.00068,-0.00068,89.68,0.034,-0.034,,,,0
938,TRAPPIST-1 g,TRAPPIST-1,1,0.0468225,0.0004,-0.00038500000000000003,1.321,0.098,-0.095,7,0.03154,0.00058,-0.00058,89.71,0.025,-0.025,,,,0
940,GJ 3473 b,GJ 3473,1,0.01589,0.00062,-0.00062,1.86,0.3,-0.3,2,0.0,0.0,0.0,87.95,0.47,-0.45,,,,01+1-
941,TOI-2202 b,TOI-2202,1,0.09564,0.00156,-0.00161,310.83618,20.02319,-18.68831,2,0.042,0.0255,-0.0075,88.4,0.6,-3.3,,,,0
944,TOI-500 d,TOI-500,1,,,,33.12,0.88,-0.88,4,0.016,0.017,-0.011,90.0,0.0,0.0,,,,03
945,TOI-500 e,TOI-500,1,,,,15.05,1.12,-1.11,4,0.073,0.068,-0.051,90.0,0.0,0.0,,,,03
