hostname,pl_name,default_flag,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2
TOI-199,TOI-199 b,1,2023-10-09,2,0.4254,0.002,-0.002,9.079,0.056,-0.056,54.03083,6.35657,-6.35657,0.09,0.01,-0.02,90.0,,,,,
TOI-199,TOI-199 c,1,2023-10-09,2,0.807,0.003,-0.003,,,,88.99195,6.35657,-3.17828,0.096,0.008,-0.009,90.0,,,,,
TOI-2096,TOI-2096 c,1,2023-03-28,2,0.04,0.002,-0.002,1.914,0.095,-0.095,,,,0.1,0.17,-0.06,89.56,0.26,-0.23,,,
HD 23472,HD 23472 c,0,2023-12-04,5,,,,1.61,0.115,-0.115,,,,,,,,,,,,
Kepler-33,Kepler-33 d,0,2013-10-28,5,0.166,,,5.5,0.48,-0.48,,,,0.0,,,87.09,,,,,
HIP 5158,HIP 5158 b,1,2019-09-04,2,0.89,,,,,,451.0,,,0.52,0.08,-0.08,,,,,,
HD 20794,HD 20794 b,1,2015-08-26,4,0.1207,0.002,-0.002,,,,2.7,0.3,-0.3,0.0,,,90.0,,,,,
HD 20794,HD 20794 c,1,2015-08-26,4,0.2036,0.0034,-0.0034,,,,2.4,0.4,-0.4,0.0,,,90.0,,,,,
HD 20794,HD 20794 d,1,2015-08-26,4,0.3499,0.0059,-0.0059,,,,4.8,0.6,-0.6,0.0,,,90.0,,,,,
LHS 1140,LHS 1140 b,0,2018-12-03,2,0.0875,0.0041,-0.0041,1.43,0.1,-0.1,6.65,1.82,-1.82,0.29,,,89.912,0.071,-0.071,,,
HD 20794,HD 20794 b,0,2017-06-06,4,0.127,0.001,-0.001,,,,2.82,0.1,-0.8,0.27,0.04,-0.22,,,,,,
HD 20794,HD 20794 c,0,2017-06-06,4,0.225,0.002,-0.003,,,,2.52,0.52,-0.83,0.17,0.1,-0.16,,,,,,
HD 20794,HD 20794 d,0,2017-06-06,4,0.364,0.004,-0.004,,,,3.52,0.58,-1.01,0.25,0.16,-0.21,,,,,,
HD 20794,HD 20794 e,1,2017-06-06,4,0.509,0.006,-0.006,,,,4.77,0.96,-0.86,0.29,0.14,-0.18,,,,,,
LHS 1140,LHS 1140 b,0,2018-12-03,2,0.0936,0.0024,-0.0024,1.727,0.032,-0.032,6.98,0.89,-0.89,0.06,,,89.89,0.05,-0.03,,,
LHS 1140,LHS 1140 c,0,2018-12-03,2,0.02675,0.0007,-0.0007,1.282,0.024,-0.024,1.81,0.39,-0.39,0.31,,,89.92,0.06,-0.09,,,
TOI-1338 A,TOI-1338 A b,0,2024-01-05,2,,,,7.85,0.74,-0.74,,,,,,,,,,,,
TOI-421,TOI-421 c,0,2023-04-10,2,,,,4.791,0.346,-0.346,,,,,,,,,,,,
TOI-1338 A,TOI-1338 A b,0,2020-05-29,2,0.4607,0.0084,-0.0088,6.85,0.19,-0.19,33.0,20.3,-19.6,0.088,0.0043,-0.0033,89.37,0.35,-0.26,,,
TOI-421,TOI-421 b,0,2020-10-01,2,0.056,0.0018,-0.0018,2.68,0.19,-0.18,7.17,0.66,-0.66,0.163,0.082,-0.071,85.68,0.36,-0.46,,,
TOI-421,TOI-421 c,0,2020-10-01,2,0.1189,0.0039,-0.0039,5.09,0.16,-0.15,16.42,1.06,-1.04,0.152,0.042,-0.042,88.353,0.078,-0.084,,,
HD 155358,HD 155358 b,0,2019-01-28,2,0.64,0.01,-0.01,,,,270.0,16.0,-16.0,0.17,0.03,-0.03,,,,,,
GJ 433,GJ 433 b,0,2020-02-06,3,0.058,,,,,,5.79,,,0.08,0.08,-0.08,,,,,,
HIP 5158,HIP 5158 b,0,2019-09-04,2,0.89,0.01,-0.01,,,,457.6752,44.4962,-44.4962,0.54,0.04,-0.04,,,,,,
Kepler-370,Kepler-370 c,1,2014-05-14,2,0.14,,,1.91,0.89,-0.89,,,,,,,,,,,,
Kepler-400,Kepler-400 b,1,2014-05-14,2,0.087,,,1.65,0.3,-0.3,,,,,,,,,,,,
Kepler-221,Kepler-221 b,1,2014-05-14,4,0.037,,,1.71,0.17,-0.17,,,,,,,,,,,,
Kepler-367,Kepler-367 c,1,2014-05-14,2,0.253,,,1.2,0.16,-0.16,,,,,,,,,,,,
Kepler-393,Kepler-393 c,1,2014-05-14,2,0.124,,,1.33,0.31,-0.31,,,,,,,,,,,,
