hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2
K2-133,K2-133 d,2019-05-20,4,0.075935,0.002795,-0.0028,5.133224433609335,2.170081524864795,-1.2811212392817661,0.15319315421743498,0.0,0.0,89.46000000000001,0.125,-0.07,0.0,0.1767766952966369,-0.09899494936611666,01+-2+-5+-,0.0,0.1767766952966369,-0.09899494936611666
K2-148,K2-148 b,2018-02-01,3,0.036809517669759186,0.0014,-0.0014,0.9340822059294704,0.6569914362834539,-0.4405015289662715,0.20543615100312596,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-2+-3+-5+-,0.0,0.0,-0.0
TOI-2096,TOI-2096 b,2023-03-28,2,0.025,0.001,-0.001,2.900481876671436,1.3360867887989176,-0.986675797682625,0.15,0.27,-0.12,89.24,0.49,-0.49,0.3200000000000074,0.5547071299343465,-0.5412947441089743,02+-5+-,0.3200000000000074,0.5547071299343465,-0.5412947441089743
HD 213885,HD 213885 c,2019-12-02,2,0.056798,0.00044,-0.00032,19.95,1.38,-1.36,0.0,0.0,0.0,80.09,0.62,-0.5,0.0,0.8768124086713189,-0.7071067811865476,01+1-3+-5+-,0.0,0.8768124086713189,-0.7071067811865476
TOI-2525,TOI-2525 b,2023-02-25,2,0.1511,0.002,-0.002,26.69759,1.58914,-1.58914,0.17,0.011,-0.01,89.5,0.07,-0.07,0.46999999999999886,0.1140175425099138,-0.1140175425099138,05+-,0.46999999999999886,0.1140175425099138,-0.1140175425099138
K2-155,K2-155 c,2018-04-25,3,0.092,0.00315,-0.0031000000000000003,5.774223593163271,2.937021085611688,-2.245875994875375,0.20543615100312596,0.0,0.0,88.93,0.755,-0.8400000000000001,0.0,1.0677312395916867,-1.1879393923933999,01+-2+-5+-,0.0,1.0677312395916867,-1.1879393923933999
55 Cnc,55 Cnc d,2021-02-05,5,5.5215,0.1,-0.1,1219.6235000000001,103.29455,-63.56355,0.0965,0.025,-0.025,89.86500000000001,24.49,-24.54,0.0,34.634090142517096,-34.704800820635754,05+-,0.0,34.634090142517096,-34.704800820635754
K2-148,K2-148 c,2018-02-01,3,0.05075980548404958,0.0019,-0.0019,2.19067267451756,1.3907695639057618,-0.9465012734392226,0.20543615100312596,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-2+-3+-5+-,0.0,0.0,-0.0
Teegarden's Star,Teegarden's Star b,2024-03-05,3,0.02555,0.0008,-0.0009,1.105,0.125,-0.11499999999999999,0.015,0.1,-0.01,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
Teegarden's Star,Teegarden's Star c,2024-03-05,3,0.044899999999999995,0.00145,-0.0015500000000000002,1.08,0.15000000000000002,-0.14,0.02,0.115,-0.015,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
55 Cnc,55 Cnc b,2021-02-05,5,0.1144,0.0006,-0.0006,262.92975,7.311770000000001,-7.311770000000001,0.0094,0.008,-0.008,89.86500000000001,24.49,-24.54,0.0,34.634090142517096,-34.704800820635754,05+-,0.0,34.634090142517096,-34.704800820635754
