,hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2,namd_rel,namd_rel_mc,namd_rel_q16,namd_rel_q50,namd_rel_q84
2233,TOI-1408,TOI-1408 c,2024-10-14,2,0.03587,8e-05,-8e-05,7.6,0.2,-0.2,0.1353,0.0001,-0.0001,1.0005000000000166,0.3340793318958837,-0.3340793318958837,05d+-,1.0005000000000166,0.3340793318958837,-0.3340793318958837,0.008579563069476217,,0.00696020914400732,0.008594901201620325,0.010400914347692795
2240,TOI-1468,TOI-1468 b,2025-06-11,2,0.0210454280471553,0.00016,-0.00016,3.125,0.35,-0.35,0.0099,0.018,-0.005,1.1325000000000074,0.3896100614717233,-0.3187118604633345,05d+-,1.1325000000000074,0.3896100614717233,-0.3187118604633345,0.004852812496106294,,0.0010901515559602188,0.007312884325277884,0.02300657141493577
2241,TOI-1468,TOI-1468 c,2025-06-11,2,0.085985577005462,0.00065,-0.00065,5.369999999999999,0.885,-0.8900000000000001,0.111,0.15,-0.084,0.0,0.1216223663640861,-0.0685893577750951,05d+-,0.0,0.1216223663640861,-0.0685893577750951,0.004852812496106294,,0.0010901515559602188,0.007312884325277884,0.02300657141493577
2273,TOI-201,TOI-201 b,2025-08-07,2,0.3026,0.01105,-0.01605,158.91453803,19.069744245000003,-14.461216415,0.28,0.06,-0.09,1.082499999999996,0.0756984147786464,-0.0730068489937759,05d+-,1.082499999999996,0.0756984147786464,-0.0730068489937759,0.232334680593428,,0.2201804204863998,0.2323775049854036,0.24501880364075798
2274,TOI-201,TOI-201 c,2025-08-07,2,4.28,0.36,-0.21,4513.1633794,317.828407,-381.3940884,0.643,0.009,-0.021,0.0,0.0424264068711928,-0.0240416305603426,05d+-,0.0,0.0424264068711928,-0.0240416305603426,0.232334680593428,,0.2201804204863998,0.2323775049854036,0.24501880364075798
2275,TOI-2015,TOI-2015 b,2025-04-21,2,0.029711,0.0006515,-0.0006014999999999,12.8,2.21,-2.225,0.03945,0.0018,-0.0016,0.0,0.0989949493661166,-0.1060660171779821,05d+-,0.0,0.0989949493661166,-0.1060660171779821,0.0007246020174588556,,0.0006463168124986351,0.0007269796395283556,0.0008147985177308897
2276,TOI-2015,TOI-2015 c,2025-03-09,2,0.041232,4e-06,-4e-06,8.91,0.38,-0.4,0.00033,0.0003,-0.0002,2.0799999999999983,0.278926513619627,-0.2514458192136031,05d+-,2.0799999999999983,0.278926513619627,-0.2514458192136031,0.0007246020174588556,,0.0006463168124986351,0.0007269796395283556,0.0008147985177308897
2287,TOI-216,TOI-216.01,2024-09-16,2,0.2069,0.0107,-0.0082,188.99195396,88.17828407,-53.17828407,0.0168,0.01985,-0.0106,0.0,0.1555634918610404,-0.1697056274847714,05d+-,0.0,0.1555634918610404,-0.1697056274847714,0.0011495023171696048,,0.0007512549100261146,0.0012820022863653255,0.0021075590698833506
2288,TOI-216,TOI-216.02,2024-03-04,2,0.1293,0.0067,-0.0051,24.375938005,10.317828405,-7.317828405,0.146,0.031,-0.0125,1.465999999999994,0.1177454882362802,-0.1379275171965333,05d+-,1.465999999999994,0.1177454882362802,-0.1379275171965333,0.0011495023171696048,,0.0007512549100261146,0.0012820022863653255,0.0021075590698833506
2289,TOI-2202,TOI-2202 b,2025-04-16,2,0.0966309323336779,0.00156,-0.00161,299.07653099000004,23.837130525,-25.235575515,0.032,0.02375,-0.01125,31.0,13.0,-11.0,0,0.0,0.5444722215136416,-2.4183051916579923,0.0018522921955150325,,0.0013578109446093034,0.002557848050163981,0.0044061770698852094
2290,TOI-2202,TOI-2202 c,2021-08-23,2,0.15544,0.00255,-0.00263,117.27868218,32.73632592,-26.57045483,0.0622,0.0452,-0.0211,31.0,13.0,-11.0,05+-,4.144999999999996,2.4306840600950177,-3.3666155111625087,0.0018522921955150325,,0.0013578109446093034,0.002557848050163981,0.0044061770698852094
2297,TOI-2525,TOI-2525 b,2024-09-30,2,0.1511,0.002,-0.002,26.69758619,1.58914204,-1.58914204,0.17,0.011,-0.01,0.4699999999999988,0.1140175425099138,-0.1140175425099138,05d+-,0.4699999999999988,0.1140175425099138,-0.1140175425099138,0.012599549922744103,,0.011543579201870288,0.012606985615948032,0.013722112028053785
2298,TOI-2525,TOI-2525 c,2024-10-14,2,0.249,0.004,-0.004,208.8132634,9.85268062,-10.17050902,0.157,0.008,-0.007,0.0,0.1272792206135785,-0.1272792206135785,05d+-,0.0,0.1272792206135785,-0.1272792206135785,0.012599549922744103,,0.011543579201870288,0.012606985615948032,0.013722112028053785
2301,TOI-270,TOI-270 b,2024-03-04,3,0.030890263734215,0.00176,-0.00296,1.58,0.26,-0.26,0.017,0.025,-0.025,0.8799999999999955,0.9013878188659972,-1.461642911247477,05d+-,0.8799999999999955,0.9013878188659972,-1.461642911247477,6.865395736181808e-05,,0.00015815045397452255,0.00033524227535066265,0.0006472134447770413
2302,TOI-270,TOI-270 c,2024-09-16,3,0.0472,0.001655,-0.001805,6.15,0.37,-0.37,0.0135,0.021,-0.021,0.0,0.4242640687119285,-0.5939696961966999,05d+-,0.0,0.4242640687119285,-0.5939696961966999,6.865395736181808e-05,,0.00015815045397452255,0.00033524227535066265,0.0006472134447770413
2303,TOI-270,TOI-270 d,2024-03-04,3,0.0733719496794615,0.0023499999999999,-0.0023499999999999,4.78,0.43,-0.43,0.0,0.023,-0.023,-0.1599999999999966,0.3399999999999999,-0.4368065933568311,05d+-,-0.1599999999999966,0.3399999999999999,-0.4368065933568311,6.865395736181808e-05,,0.00015815045397452255,0.00033524227535066265,0.0006472134447770413
2310,TOI-406,TOI-406 c,2025-05-05,2,0.0322,0.0013,-0.0013,2.08,0.23,-0.22,0.032,0.037,-0.023,1.8000000000000114,0.4242640687119285,-0.447213595499958,05d+-,1.8000000000000114,0.4242640687119285,-0.447213595499958,0.001476445768115863,,0.0005975899290158761,0.0017107681072627448,0.0037937067721303735
2311,TOI-406,TOI-406.01,2025-05-05,2,0.0832087675,0.0031,-0.0031,6.57,1.0,-0.9,0.056,0.035,-0.034,0.0,0.4242640687119285,-0.282842712474619,05d+-,0.0,0.4242640687119285,-0.282842712474619,0.001476445768115863,,0.0005975899290158761,0.0017107681072627448,0.0037937067721303735
2312,TOI-421,TOI-421 b,2024-08-07,2,0.0557,0.0014,-0.0014,6.9350000000000005,0.63,-0.63,0.1465,0.066,-0.0605,2.672999999999988,0.3683530914760998,-0.467606672321942,05d+-,2.672999999999988,0.3683530914760998,-0.467606672321942,0.011677899313458267,,0.007474866083809801,0.012241584344734328,0.018318625869922875
2313,TOI-421,TOI-421 c,2024-08-07,2,0.1189,0.00285,-0.00285,15.260000000000002,1.23,-1.22,0.152,0.042,-0.042,0.0,0.1103086578651014,-0.11879393923934,05d+-,0.0,0.1103086578651014,-0.11879393923934,0.011677899313458267,,0.007474866083809801,0.012241584344734328,0.018318625869922875
2325,TOI-4562,TOI-4562 b,2024-10-03,2,0.7866039720898247,0.005,-0.005,732.0,152.0,-149.0,0.76,0.02,-0.02,0.894999999999996,0.2110094784600919,-0.2170829334609241,05d+-,0.894999999999996,0.2110094784600919,-0.2170829334609241,0.053448506787402976,,0.04416805862471122,0.05368717050373521,0.06363794418627815
2326,TOI-4562,TOI-4562 c,2024-09-28,2,5.219,0.002,-0.002,1833.86990839,117.59651059,-177.98390792,0.122,0.027,-0.026,0.0,0.2404163056034262,-0.268700576850888,05d+-,0.0,0.2404163056034262,-0.268700576850888,0.053448506787402976,,0.04416805862471122,0.05368717050373521,0.06363794418627815
2361,TOI-776,TOI-776 b,2024-10-14,2,0.0653,0.00145,-0.00155,4.5,1.25,-1.25,0.06,0.03,-0.02,-0.1400000000000005,0.3330165161069342,-0.4254409477236529,05d+-,-0.1400000000000005,0.3330165161069342,-0.4254409477236529,0.0011754034093953176,,0.0006934918733430588,0.0012801231280223147,0.0020980825935676462
2362,TOI-776,TOI-776 c,2024-10-14,2,0.1,0.0023,-0.0024,6.1,2.2,-2.15,0.04,0.02,-0.01,0.0,0.3535533905932738,-0.2969848480983499,05d+-,0.0,0.3535533905932738,-0.2969848480983499,0.0011754034093953176,,0.0006934918733430588,0.0012801231280223147,0.0020980825935676462
2365,TOI-836,TOI-836 b,2024-09-16,2,0.0422,0.00093,-0.00093,4.53,0.92,-0.86,0.053,0.042,-0.042,1.1300000000000097,1.5632018423735303,-1.5632018423735303,05d+-,1.1300000000000097,1.5632018423735303,-1.5632018423735303,0.002668372085857744,,0.0016628502223710994,0.004024683567944755,0.008384142262717002
2366,TOI-836,TOI-836 c,2024-09-16,2,0.075,0.0016,-0.0016,9.6,2.7,-2.5,0.078,0.056,-0.056,0.0,2.1213203435596424,-2.1213203435596424,05d+-,0.0,2.1213203435596424,-2.1213203435596424,0.002668372085857744,,0.0016628502223710994,0.004024683567944755,0.008384142262717002
2373,TRAPPIST-1,TRAPPIST-1 b,2025-07-17,7,0.011537,0.00022,-0.00022,1.017,0.154,-0.143,0.00311,0.00304,-0.00304,0.1799999999999926,0.271154937259125,-0.2960574268617493,05d+-,0.1799999999999926,0.271154937259125,-0.2960574268617493,0.0004325496770516364,,0.0004206355932994458,0.0004348950465743546,0.00045124869965632004
2374,TRAPPIST-1,TRAPPIST-1 c,2025-07-17,7,0.015795,0.000305,-0.0003,1.308,0.142,-0.131,0.00327,0.00188,-0.00188,0.0849999999999937,0.1461540283399674,-0.1461540283399674,05d+-,0.0849999999999937,0.1461540283399674,-0.1461540283399674,0.0004325496770516364,,0.0004206355932994458,0.0004348950465743546,0.00045124869965632004
2375,TRAPPIST-1,TRAPPIST-1 d,2022-11-14,7,0.022265,0.00019,-0.000185,0.388,0.039,-0.035,0.039185,0.00093,-0.00093,-0.0400000000000062,0.1520690632574554,-0.1520690632574554,05d+-,-0.0400000000000062,0.1520690632574554,-0.1520690632574554,0.0004325496770516364,,0.0004206355932994458,0.0004348950465743546,0.00045124869965632004
